Fiscal Year,Price_Low,Price_High,RPS,FCFS,EPS,DPS,Revenue,COGS,GrossProfit,OperatingProfit,OPEX,NetProfit,CashFromOps,CAPEX,FreeCashFlow,SharesOutstanding,Issues,BuyBack,Dividends,CashAndEquivalents,MarketSecurities,Treasury,CurrentAssets,LongAssets,CurrentLiabilities,LongLiabilities
2002-12,10.73,21.0,3.62,0.952,0.76,0.325,924.0,0.0,924.0,924.0,0.0,194.0,269.0,-26.047,242.953,255.263,25.32,-95.773,-78.701,0.0,0.0,0.0,0.0,1370.0,0.0,236.0
2003-12,12.15,23.71,3.861,1.028,0.88,0.35,996.0,0.0,996.0,365.0,631.0,227.0,297.0,-31.742,265.258,257.955,27.169,-19.963,-83.672,0.0,0.0,0.0,0.0,1547.0,0.0,218.0
2004-12,22.34,31.57,4.752,1.232,1.255,0.4,1277.049,0.0,1277.049,525.279,751.77,337.26,374.28,-43.069,331.211,268.733,75.149,-18.334,-96.164,499.75,329.234,0.0,987.326,941.499,131.0,100.525
2005-12,27.41,37.37,5.544,1.786,1.58,0.485,1512.2,0.0,1512.2,655.0,857.2,431.0,539.5,-52.3,487.2,272.785,48.0,-75.9,-119.5,803.6,0.0,0.0,978.6,1331.9,171.0,103.4
2006-12,35.24,48.31,6.512,1.79,1.9,0.59,1815.0,0.0,1815.0,786.9,1028.1,529.6,593.2,-94.4,498.8,278.737,105.1,-171.0,-147.6,773.0,0.0,0.0,996.5,1768.8,224.0,114.4
2007-12,44.6,64.7,7.981,2.193,2.4,0.75,2228.3,92.1,2136.2,996.4,1139.8,670.6,758.0,-145.6,612.4,279.2,91.6,-312.1,-180.3,785.1,0.0,0.0,1050.4,2126.9,285.9,114.3
2008-12,25.13,65.01,7.835,2.213,1.82,0.96,2116.3,101.8,2014.5,848.5,1166.0,490.8,741.8,-144.1,597.7,270.1,100.4,-614.2,-312.5,619.1,0.0,0.0,796.4,2023.0,172.8,157.8
2009-12,21.01,54.27,7.119,1.531,1.65,1.0,1867.4,102.4,1765.0,701.6,1063.4,433.6,535.6,-133.9,401.7,262.3,47.7,-71.0,-256.9,743.3,0.0,0.0,989.5,2220.8,166.8,161.3
2010-12,43.6,65.37,8.929,2.319,2.53,1.08,2367.2,903.6,1463.6,1036.5,427.1,672.2,732.8,-118.0,614.8,265.1,83.0,-240.0,-278.9,813.1,0.0,0.0,1121.0,2521.0,185.1,160.4
2011-12,45.89,71.1,10.433,3.289,2.92,1.24,2747.1,1044.4,1702.7,1226.9,475.8,773.2,948.4,-82.3,866.1,263.3,50.6,-479.7,-317.9,897.9,0.0,0.0,1202.4,2567.9,286.4,63.2
2012-12,55.21,66.5,11.58,3.164,3.36,1.36,3022.5,1143.7,1878.8,1364.3,514.5,883.6,902.8,-76.9,825.9,261.0,0.0,-135.2,-603.4,879.1,0.0,0.0,1233.0,2969.8,265.9,90.8
2013-12,66.98,83.77,13.084,4.234,3.9,1.52,3484.2,1274.1,2210.1,1637.4,572.7,1047.7,1233.2,-105.8,1127.4,266.3,0.0,-14.1,-396.7,1398.0,0.0,0.0,1796.8,3236.3,142.6,72.4
2014-12,73.94,87.59,14.892,4.554,4.55,1.76,3982.1,1473.2,2508.9,1890.9,618.0,1229.6,1343.9,-126.2,1217.7,267.4,0.0,-415.5,-462.1,1506.1,0.0,0.0,1948.9,3695.5,167.0,82.2
2015-12,68.27,85.76,16.1,5.286,4.63,2.08,4200.6,1595.1,2605.5,1898.9,706.6,1223.0,1530.5,-151.3,1379.2,260.9,0.0,-987.8,-1059.0,1172.3,0.0,0.0,1618.3,3488.6,191.8,153.1
2016-12,63.21,78.61,17.119,0.089,4.75,2.16,4284.8,1867.1,2417.7,1799.6,618.1,1215.0,170.5,-148.3,22.2,250.3,0.0,-676.9,-540.8,1204.9,0.0,0.0,1660.0,4565.0,220.1,996.3
2017-12,66.45,105.36,19.808,0.177,5.97,2.28,4854.9,2073.5,2781.4,2058.8,722.6,1497.8,229.5,-186.1,43.4,245.1,0.0,-458.1,-563.1,1902.7,0.0,0.0,2468.0,5067.4,284.5,1426.5
2018-12,84.95,126.24,21.76,5.878,7.27,2.8,5372.6,2246.9,3125.7,2346.2,779.5,1837.5,1619.9,-168.5,1451.4,246.9,0.0,-1090.4,-694.3,1425.2,0.0,0.0,1974.8,5714.5,282.7,1282.3
2019-12,88.81,125.35,23.545,5.524,8.7,3.04,5617.9,2384.9,3233.0,2387.0,846.0,2131.3,1522.7,-204.6,1318.1,238.6,0.0,-705.8,-733.9,1781.8,0.0,0.0,2428.4,6902.0,246.3,1982.0
2020-12,85.42,153.17,26.846,7.372,9.98,3.6,6206.7,2616.4,3590.3,2745.7,844.6,2372.7,1918.9,-214.6,1704.3,231.2,0.0,-1201.9,-845.8,2151.7,0.0,0.0,3014.8,7644.2,272.7,1117.6
2021-12,147.69,223.87,33.531,14.042,13.12,4.32,7671.9,2993.2,4678.7,3710.0,968.7,3082.9,3452.0,-239.1,3212.9,228.8,0.0,-1138.5,-1701.9,1523.1,0.0,0.0,2581.4,9927.6,508.9,1746.4
