Fiscal Year,Price_Low,Price_High,RPS,FCFS,EPS,DPS,Revenue,COGS,GrossProfit,OperatingProfit,OPEX,NetProfit,CashFromOps,CAPEX,FreeCashFlow,SharesOutstanding,Issues,BuyBack,Dividends,CashAndEquivalents,MarketSecurities,Treasury,CurrentAssets,LongAssets,CurrentLiabilities,LongLiabilities
2009-12,90.57,240.8,33.696,9.55,6.11,3.12,4700.0,477.0,4223.0,1300.0,2923.0,875.0,1399.0,-67.0,1332.0,139.481,2804.0,-46.0,-422.0,4708.0,0.0,-3.0,6615.0,171509.0,5061.0,148461.0
2010-12,139.44,242.81,44.693,12.232,10.55,4.0,8612.0,4100.0,4512.0,2998.0,1514.0,2063.0,2488.0,-131.0,2357.0,192.692,6.0,-264.0,-776.0,3460.0,0.0,-111.0,5705.0,172754.0,2745.0,149380.0
2011-12,141.77,207.06,48.531,13.783,12.37,5.5,9081.0,4229.0,4852.0,3281.0,1571.0,2337.0,2826.0,-247.0,2579.0,187.116,5.0,-2885.0,-1014.0,3560.0,0.0,-219.0,28219.0,151677.0,1045.0,153489.0
2012-12,163.37,209.29,52.45,11.74,13.79,6.0,9337.0,4297.0,5040.0,3524.0,1516.0,2458.0,2240.0,-150.0,2090.0,178.018,7.0,-1645.0,-1060.0,4903.0,0.0,-432.0,32438.0,168013.0,1155.0,173679.0
2013-12,212.77,316.47,58.563,20.411,16.87,6.72,10180.0,4622.0,5558.0,3981.0,1577.0,2932.0,3642.0,-94.0,3548.0,173.829,7.0,-1243.0,-1168.0,4551.0,0.0,-1210.0,30911.0,188962.0,1084.0,192119.0
2014-12,286.39,364.4,64.759,17.655,19.25,7.72,11081.0,4997.0,6084.0,4524.0,1560.0,3294.0,3087.0,-66.0,3021.0,171.112,0.0,-1344.0,-1338.0,6001.0,0.0,-1894.0,45095.0,194697.0,1035.0,211237.0
2015-12,293.52,380.33,67.446,16.464,19.79,8.72,11401.0,5229.0,6172.0,4664.0,1508.0,3345.0,3004.0,-221.0,2783.0,169.039,0.0,-1331.0,-1476.0,6231.0,0.0,-2489.0,40834.0,184427.0,1068.0,195149.0
2016-12,289.72,398.45,73.604,12.931,19.02,9.16,12261.0,6243.0,6018.0,4633.0,1385.0,3168.0,2273.0,-119.0,2154.0,166.58,0.0,-1399.0,-1545.0,6175.0,0.0,-3185.0,37090.0,183087.0,880.0,189953.0
2017-12,371.64,518.86,82.718,23.082,30.12,10.0,13600.0,6811.0,6789.0,5267.0,1522.0,4952.0,3950.0,-155.0,3795.0,164.415,0.0,-1421.0,-1662.0,7038.0,0.0,-3967.0,35420.0,184821.0,1161.0,186816.0
2018-12,361.77,593.26,87.67,17.728,26.58,12.02,14198.0,6993.0,7205.0,5517.0,1688.0,4305.0,3075.0,-204.0,2871.0,161.949,0.0,-2087.0,-1968.0,6488.0,0.0,-5387.0,29800.0,129773.0,1292.0,124741.0
2019-12,377.98,503.24,92.335,16.703,28.43,13.2,14539.0,7133.0,7406.0,5551.0,1855.0,4476.0,2884.0,-254.0,2630.0,157.46,0.0,-1911.0,-2096.0,4829.0,0.0,-6732.0,23474.0,145148.0,1167.0,132526.0
2020-12,327.42,721.54,104.656,22.92,31.85,14.52,16205.0,7939.0,8266.0,6313.0,1953.0,4932.0,3743.0,-194.0,3549.0,154.841,0.0,-1809.0,-2260.0,8664.0,0.0,-8009.0,28706.0,148276.0,1028.0,138298.0
2021-12,683.21,971.49,125.476,29.811,38.22,16.52,19374.0,9556.0,9818.0,7488.0,2330.0,5901.0,4944.0,-341.0,4603.0,154.404,0.0,-1485.0,-2547.0,9323.0,0.0,-9087.0,20193.0,132455.0,1397.0,112358.0
